observed_at,tick_time,symbol,bid,ask,spread_points
2026-08-22T00:34:41.791635+00:00,2026-08-21T23:59:56.080000+00:00,EURUSD,1.1675,1.16769,18.999999999991246
2026-08-22T00:34:41.794735+00:00,2026-08-21T23:59:56.080000+00:00,EURUSD,1.1675,1.16769,18.999999999991246
2026-08-23T21:30:09.092052+00:00,2026-08-24T00:30:05.284000+00:00,EURUSD,1.16782,1.1678600000000001,4.0
2026-08-23T21:30:10.095047+00:00,2026-08-24T00:30:05.284000+00:00,EURUSD,1.16782,1.1678600000000001,4.0
2026-08-23T21:30:11.096785+00:00,2026-08-24T00:30:05.284000+00:00,EURUSD,1.16782,1.1678600000000001,4.0
2026-08-23T21:30:12.100085+00:00,2026-08-24T00:30:05.284000+00:00,EURUSD,1.16782,1.1678600000000001,4.0
2026-08-23T21:30:13.106166+00:00,2026-08-24T00:30:05.284000+00:00,EURUSD,1.16782,1.1678600000000001,4.0
2026-08-23T21:30:14.109182+00:00,2026-08-24T00:30:05.284000+00:00,EURUSD,1.16782,1.1678600000000001,4.0
2026-08-23T21:30:15.112087+00:00,2026-08-24T00:30:05.284000+00:00,EURUSD,1.16782,1.1678600000000001,4.0
2026-08-23T21:30:16.115505+00:00,2026-08-24T00:30:05.284000+00:00,EURUSD,1.16782,1.1678600000000001,4.0
2026-08-23T21:30:17.118608+00:00,2026-08-24T00:30:05.284000+00:00,EURUSD,1.16782,1.1678600000000001,4.0
2026-08-23T21:30:18.122968+00:00,2026-08-24T00:30:05.284000+00:00,EURUSD,1.16782,1.1678600000000001,4.0
2026-08-23T21:30:19.125408+00:00,2026-08-24T00:30:19.934000+00:00,EURUSD,1.16784,1.1678600000000001,2.0
2026-08-23T21:30:20.128184+00:00,2026-08-24T00:30:20.200000+00:00,EURUSD,1.16784,1.1679,6.0
2026-08-23T21:30:21.131706+00:00,2026-08-24T00:30:20.952000+00:00,EURUSD,1.16784,1.16789,5.0
2026-08-23T21:30:22.137837+00:00,2026-08-24T00:30:20.952000+00:00,EURUSD,1.16784,1.16789,5.0
2026-08-23T21:30:23.141308+00:00,2026-08-24T00:30:20.952000+00:00,EURUSD,1.16784,1.16789,5.0
2026-08-23T21:30:24.144749+00:00,2026-08-24T00:30:20.952000+00:00,EURUSD,1.16784,1.16789,5.0
2026-08-23T21:30:25.148050+00:00,2026-08-24T00:30:20.952000+00:00,EURUSD,1.16784,1.16789,5.0
2026-08-23T21:30:26.151935+00:00,2026-08-24T00:30:20.952000+00:00,EURUSD,1.16784,1.16789,5.0
2026-08-23T21:30:27.155731+00:00,2026-08-24T00:30:20.952000+00:00,EURUSD,1.16784,1.16789,5.0
2026-08-23T21:30:28.159183+00:00,2026-08-24T00:30:20.952000+00:00,EURUSD,1.16784,1.16789,5.0
2026-08-23T21:30:29.162982+00:00,2026-08-24T00:30:20.952000+00:00,EURUSD,1.16784,1.16789,5.0
2026-08-23T21:30:30.167663+00:00,2026-08-24T00:30:30.821000+00:00,EURUSD,1.16784,1.16789,5.0
2026-08-23T21:30:31.171334+00:00,2026-08-24T00:30:30.821000+00:00,EURUSD,1.16784,1.16789,5.0
2026-08-23T21:30:32.174449+00:00,2026-08-24T00:30:30.821000+00:00,EURUSD,1.16784,1.16789,5.0
2026-08-23T21:30:33.179882+00:00,2026-08-24T00:30:30.821000+00:00,EURUSD,1.16784,1.16789,5.0
2026-08-23T21:30:34.182665+00:00,2026-08-24T00:30:30.821000+00:00,EURUSD,1.16784,1.16789,5.0
2026-08-23T21:30:35.188251+00:00,2026-08-24T00:30:30.821000+00:00,EURUSD,1.16784,1.16789,5.0
2026-08-23T21:30:36.191136+00:00,2026-08-24T00:30:30.821000+00:00,EURUSD,1.16784,1.16789,5.0
2026-08-23T21:30:37.196105+00:00,2026-08-24T00:30:30.821000+00:00,EURUSD,1.16784,1.16789,5.0
2026-08-23T21:30:38.199391+00:00,2026-08-24T00:30:30.821000+00:00,EURUSD,1.16784,1.16789,5.0
2026-08-23T21:30:39.204268+00:00,2026-08-24T00:30:30.821000+00:00,EURUSD,1.16784,1.16789,5.0
2026-08-23T21:30:40.206871+00:00,2026-08-24T00:30:30.821000+00:00,EURUSD,1.16784,1.16789,5.0
2026-08-23T21:30:41.210905+00:00,2026-08-24T00:30:30.821000+00:00,EURUSD,1.16784,1.16789,5.0
2026-08-23T21:30:42.214355+00:00,2026-08-24T00:30:30.821000+00:00,EURUSD,1.16784,1.16789,5.0
2026-08-23T21:30:43.220254+00:00,2026-08-24T00:30:30.821000+00:00,EURUSD,1.16784,1.16789,5.0
2026-08-23T21:30:44.225378+00:00,2026-08-24T00:30:30.821000+00:00,EURUSD,1.16784,1.16789,5.0
2026-08-23T21:30:45.228641+00:00,2026-08-24T00:30:30.821000+00:00,EURUSD,1.16784,1.16789,5.0
2026-08-23T21:30:46.236076+00:00,2026-08-24T00:30:30.821000+00:00,EURUSD,1.16784,1.16789,5.0
2026-08-23T21:30:47.239496+00:00,2026-08-24T00:30:30.821000+00:00,EURUSD,1.16784,1.16789,5.0
