observed_at,tick_time,symbol,bid,ask,spread_points
2026-08-24T15:41:45.200393+00:00,2026-08-24T18:41:42.121000+00:00,EURUSD,1.16693,1.16695,2.0
2026-08-24T15:41:46.202597+00:00,2026-08-24T18:41:46.090000+00:00,EURUSD,1.1669100000000001,1.16693,2.0
2026-08-24T15:41:47.205394+00:00,2026-08-24T18:41:46.537000+00:00,EURUSD,1.16689,1.1669,1.0
2026-08-24T15:41:48.209140+00:00,2026-08-24T18:41:46.537000+00:00,EURUSD,1.16689,1.1669,1.0
2026-08-24T15:41:49.212249+00:00,2026-08-24T18:41:46.537000+00:00,EURUSD,1.16689,1.1669,1.0
2026-08-24T15:41:50.216978+00:00,2026-08-24T18:41:46.537000+00:00,EURUSD,1.16689,1.1669,1.0
2026-08-24T15:41:51.222123+00:00,2026-08-24T18:41:46.537000+00:00,EURUSD,1.16689,1.1669,1.0
2026-08-24T15:41:52.225535+00:00,2026-08-24T18:41:52.137000+00:00,EURUSD,1.16688,1.1669,2.0
2026-08-24T15:41:53.266232+00:00,2026-08-24T18:41:52.777000+00:00,EURUSD,1.16688,1.1669,2.0
2026-08-24T15:41:54.270424+00:00,2026-08-24T18:41:52.777000+00:00,EURUSD,1.16688,1.1669,2.0
2026-08-24T15:41:55.273727+00:00,2026-08-24T18:41:54.729000+00:00,EURUSD,1.16687,1.16688,1.0
2026-08-24T15:41:56.276446+00:00,2026-08-24T18:41:54.729000+00:00,EURUSD,1.16687,1.16688,1.0
2026-08-24T15:41:57.279106+00:00,2026-08-24T18:41:54.729000+00:00,EURUSD,1.16687,1.16688,1.0
2026-08-24T15:41:58.282498+00:00,2026-08-24T18:41:54.729000+00:00,EURUSD,1.16687,1.16688,1.0
2026-08-24T15:41:59.285370+00:00,2026-08-24T18:41:54.729000+00:00,EURUSD,1.16687,1.16688,1.0
2026-08-24T15:42:00.323760+00:00,2026-08-24T18:42:00.202000+00:00,EURUSD,1.16685,1.16687,2.0
2026-08-24T15:42:01.333617+00:00,2026-08-24T18:42:01.353000+00:00,EURUSD,1.16685,1.16686,1.0
2026-08-24T15:42:02.335453+00:00,2026-08-24T18:42:01.353000+00:00,EURUSD,1.16685,1.16686,1.0
2026-08-24T15:42:03.338586+00:00,2026-08-24T18:42:02.858000+00:00,EURUSD,1.16684,1.16686,2.0
2026-08-24T15:42:04.342602+00:00,2026-08-24T18:42:04.265000+00:00,EURUSD,1.16686,1.16687,1.0
2026-08-24T15:42:05.346032+00:00,2026-08-24T18:42:04.265000+00:00,EURUSD,1.16686,1.16687,1.0
2026-08-24T15:42:06.348831+00:00,2026-08-24T18:42:04.265000+00:00,EURUSD,1.16686,1.16687,1.0
2026-08-24T15:42:07.351977+00:00,2026-08-24T18:42:07.113000+00:00,EURUSD,1.16687,1.16688,1.0
2026-08-24T15:42:08.357889+00:00,2026-08-24T18:42:08.529000+00:00,EURUSD,1.16688,1.1669,2.0
2026-08-24T15:42:09.361109+00:00,2026-08-24T18:42:08.529000+00:00,EURUSD,1.16688,1.1669,2.0
2026-08-24T15:42:10.363462+00:00,2026-08-24T18:42:09.910000+00:00,EURUSD,1.16689,1.1669,1.0
2026-08-24T15:42:11.369343+00:00,2026-08-24T18:42:09.910000+00:00,EURUSD,1.16689,1.1669,1.0
2026-08-24T15:42:12.371503+00:00,2026-08-24T18:42:09.910000+00:00,EURUSD,1.16689,1.1669,1.0
2026-08-24T15:42:13.374006+00:00,2026-08-24T18:42:09.910000+00:00,EURUSD,1.16689,1.1669,1.0
2026-08-24T15:42:14.376779+00:00,2026-08-24T18:42:14.522000+00:00,EURUSD,1.16685,1.16686,1.0
2026-08-24T15:42:15.380310+00:00,2026-08-24T18:42:14.522000+00:00,EURUSD,1.16685,1.16686,1.0
2026-08-24T15:42:16.384216+00:00,2026-08-24T18:42:14.522000+00:00,EURUSD,1.16685,1.16686,1.0
2026-08-24T15:42:17.387940+00:00,2026-08-24T18:42:17.234000+00:00,EURUSD,1.16685,1.16686,1.0
2026-08-24T15:42:18.390330+00:00,2026-08-24T18:42:17.630000+00:00,EURUSD,1.16684,1.16686,2.0
2026-08-24T15:42:19.408201+00:00,2026-08-24T18:42:17.630000+00:00,EURUSD,1.16684,1.16686,2.0
2026-08-24T15:42:20.412175+00:00,2026-08-24T18:42:20.556000+00:00,EURUSD,1.16686,1.16687,1.0
2026-08-24T15:42:21.414467+00:00,2026-08-24T18:42:21.373000+00:00,EURUSD,1.16689,1.1669,1.0
2026-08-24T15:42:22.417954+00:00,2026-08-24T18:42:21.373000+00:00,EURUSD,1.16689,1.1669,1.0
