observed_at,tick_time,symbol,bid,ask,spread_points
2026-08-31T08:38:13.343683+00:00,2026-08-31T11:38:10.899000+00:00,GBPUSD,1.35459,1.35461,2.0
2026-08-31T08:38:14.394979+00:00,2026-08-31T11:38:10.899000+00:00,GBPUSD,1.35459,1.35461,2.0
2026-08-31T08:38:15.398116+00:00,2026-08-31T11:38:15.188000+00:00,GBPUSD,1.35457,1.35459,2.0
2026-08-31T08:38:16.401365+00:00,2026-08-31T11:38:15.188000+00:00,GBPUSD,1.35457,1.35459,2.0
2026-08-31T08:38:17.404440+00:00,2026-08-31T11:38:15.188000+00:00,GBPUSD,1.35457,1.35459,2.0
2026-08-31T08:38:18.407432+00:00,2026-08-31T11:38:15.188000+00:00,GBPUSD,1.35457,1.35459,2.0
2026-08-31T08:38:19.421996+00:00,2026-08-31T11:38:15.188000+00:00,GBPUSD,1.35457,1.35459,2.0
2026-08-31T08:38:20.424745+00:00,2026-08-31T11:38:15.188000+00:00,GBPUSD,1.35457,1.35459,2.0
2026-08-31T08:38:21.427815+00:00,2026-08-31T11:38:15.188000+00:00,GBPUSD,1.35457,1.35459,2.0
2026-08-31T08:38:22.431196+00:00,2026-08-31T11:38:15.188000+00:00,GBPUSD,1.35457,1.35459,2.0
2026-08-31T08:38:23.433946+00:00,2026-08-31T11:38:15.188000+00:00,GBPUSD,1.35457,1.35459,2.0
2026-08-31T08:38:24.437982+00:00,2026-08-31T11:38:23.987000+00:00,GBPUSD,1.35456,1.35458,2.0
2026-08-31T08:38:25.442187+00:00,2026-08-31T11:38:23.987000+00:00,GBPUSD,1.35456,1.35458,2.0
2026-08-31T08:38:26.445116+00:00,2026-08-31T11:38:23.987000+00:00,GBPUSD,1.35456,1.35458,2.0
2026-08-31T08:38:27.447851+00:00,2026-08-31T11:38:23.987000+00:00,GBPUSD,1.35456,1.35458,2.0
2026-08-31T08:38:28.451178+00:00,2026-08-31T11:38:28.434000+00:00,GBPUSD,1.35457,1.35459,2.0
2026-08-31T08:38:29.454220+00:00,2026-08-31T11:38:28.434000+00:00,GBPUSD,1.35457,1.35459,2.0
2026-08-31T08:38:30.457861+00:00,2026-08-31T11:38:28.434000+00:00,GBPUSD,1.35457,1.35459,2.0
2026-08-31T08:38:31.461834+00:00,2026-08-31T11:38:28.434000+00:00,GBPUSD,1.35457,1.35459,2.0
2026-08-31T08:38:32.464496+00:00,2026-08-31T11:38:28.434000+00:00,GBPUSD,1.35457,1.35459,2.0
2026-08-31T08:38:33.467082+00:00,2026-08-31T11:38:28.434000+00:00,GBPUSD,1.35457,1.35459,2.0
2026-08-31T08:38:34.470518+00:00,2026-08-31T11:38:28.434000+00:00,GBPUSD,1.35457,1.35459,2.0
2026-08-31T08:38:35.473595+00:00,2026-08-31T11:38:28.434000+00:00,GBPUSD,1.35457,1.35459,2.0
2026-08-31T08:38:36.477316+00:00,2026-08-31T11:38:28.434000+00:00,GBPUSD,1.35457,1.35459,2.0
2026-08-31T08:38:37.481137+00:00,2026-08-31T11:38:28.434000+00:00,GBPUSD,1.35457,1.35459,2.0
2026-08-31T08:38:38.485474+00:00,2026-08-31T11:38:28.434000+00:00,GBPUSD,1.35457,1.35459,2.0
