observed_at,tick_time,symbol,bid,ask,spread_points
2026-08-31T12:00:02.502536+00:00,2026-08-31T15:00:02.390000+00:00,USDCAD,1.3887399999999999,1.38877,3.0
2026-08-31T12:00:03.504477+00:00,2026-08-31T15:00:03.094000+00:00,USDCAD,1.38873,1.38876,3.0
2026-08-31T12:00:04.506470+00:00,2026-08-31T15:00:03.094000+00:00,USDCAD,1.38873,1.38876,3.0
2026-08-31T12:00:05.510512+00:00,2026-08-31T15:00:04.918000+00:00,USDCAD,1.38871,1.38875,4.0
2026-08-31T12:00:06.513015+00:00,2026-08-31T15:00:04.918000+00:00,USDCAD,1.38871,1.38875,4.0
2026-08-31T12:00:07.515387+00:00,2026-08-31T15:00:04.918000+00:00,USDCAD,1.38871,1.38875,4.0
2026-08-31T12:00:08.519621+00:00,2026-08-31T15:00:07.670000+00:00,USDCAD,1.38872,1.38875,3.0
2026-08-31T12:00:09.521906+00:00,2026-08-31T15:00:07.670000+00:00,USDCAD,1.38872,1.38875,3.0
2026-08-31T12:00:10.524595+00:00,2026-08-31T15:00:07.670000+00:00,USDCAD,1.38872,1.38875,3.0
2026-08-31T12:00:11.527593+00:00,2026-08-31T15:00:07.670000+00:00,USDCAD,1.38872,1.38875,3.0
2026-08-31T12:00:12.530539+00:00,2026-08-31T15:00:12.214000+00:00,USDCAD,1.38871,1.38875,4.0
2026-08-31T12:00:13.533769+00:00,2026-08-31T15:00:13.494000+00:00,USDCAD,1.38872,1.38875,3.0
2026-08-31T12:00:14.535971+00:00,2026-08-31T15:00:13.494000+00:00,USDCAD,1.38872,1.38875,3.0
2026-08-31T12:00:15.540454+00:00,2026-08-31T15:00:13.494000+00:00,USDCAD,1.38872,1.38875,3.0
2026-08-31T12:00:16.543756+00:00,2026-08-31T15:00:13.494000+00:00,USDCAD,1.38872,1.38875,3.0
2026-08-31T12:00:17.545687+00:00,2026-08-31T15:00:17.173000+00:00,USDCAD,1.38873,1.38876,3.0
2026-08-31T12:00:18.549332+00:00,2026-08-31T15:00:17.686000+00:00,USDCAD,1.3887399999999999,1.38877,3.0
2026-08-31T12:00:19.552075+00:00,2026-08-31T15:00:19.061000+00:00,USDCAD,1.38873,1.38876,3.0
2026-08-31T12:00:20.554323+00:00,2026-08-31T15:00:20.406000+00:00,USDCAD,1.38873,1.38877,4.0
2026-08-31T12:00:21.559204+00:00,2026-08-31T15:00:20.406000+00:00,USDCAD,1.38873,1.38877,4.0
2026-08-31T12:00:22.562675+00:00,2026-08-31T15:00:20.406000+00:00,USDCAD,1.38873,1.38877,4.0
2026-08-31T12:00:23.566866+00:00,2026-08-31T15:00:20.406000+00:00,USDCAD,1.38873,1.38877,4.0
2026-08-31T12:00:24.569318+00:00,2026-08-31T15:00:20.406000+00:00,USDCAD,1.38873,1.38877,4.0
2026-08-31T12:00:25.571720+00:00,2026-08-31T15:00:25.461000+00:00,USDCAD,1.38863,1.38866,3.0
2026-08-31T12:00:26.573257+00:00,2026-08-31T15:00:26.165000+00:00,USDCAD,1.38861,1.38864,3.0
2026-08-31T12:00:27.576596+00:00,2026-08-31T15:00:26.678000+00:00,USDCAD,1.38862,1.38865,3.0
2026-08-31T12:00:28.579546+00:00,2026-08-31T15:00:28.533000+00:00,USDCAD,1.38861,1.38864,3.0
2026-08-31T12:00:29.581912+00:00,2026-08-31T15:00:28.533000+00:00,USDCAD,1.38861,1.38864,3.0
2026-08-31T12:00:30.585065+00:00,2026-08-31T15:00:30.101000+00:00,USDCAD,1.38861,1.38863,2.0
2026-08-31T12:00:31.587886+00:00,2026-08-31T15:00:30.101000+00:00,USDCAD,1.38861,1.38863,2.0
2026-08-31T12:00:32.590363+00:00,2026-08-31T15:00:30.101000+00:00,USDCAD,1.38861,1.38863,2.0
2026-08-31T12:00:33.594674+00:00,2026-08-31T15:00:33.525000+00:00,USDCAD,1.38863,1.38866,3.0
2026-08-31T12:00:34.597388+00:00,2026-08-31T15:00:33.525000+00:00,USDCAD,1.38863,1.38866,3.0
2026-08-31T12:00:35.600606+00:00,2026-08-31T15:00:35.573000+00:00,USDCAD,1.38863,1.38866,3.0
2026-08-31T12:00:36.603230+00:00,2026-08-31T15:00:36.149000+00:00,USDCAD,1.38863,1.38866,3.0
2026-08-31T12:00:37.608091+00:00,2026-08-31T15:00:36.789000+00:00,USDCAD,1.38863,1.38867,4.0
2026-08-31T12:00:38.611515+00:00,2026-08-31T15:00:36.789000+00:00,USDCAD,1.38863,1.38867,4.0
2026-08-31T12:00:39.615597+00:00,2026-08-31T15:00:36.789000+00:00,USDCAD,1.38863,1.38867,4.0
2026-08-31T12:00:40.619711+00:00,2026-08-31T15:00:36.789000+00:00,USDCAD,1.38863,1.38867,4.0
2026-08-31T12:00:41.622870+00:00,2026-08-31T15:00:41.557000+00:00,USDCAD,1.38863,1.38866,3.0
2026-08-31T12:00:42.625881+00:00,2026-08-31T15:00:41.557000+00:00,USDCAD,1.38863,1.38866,3.0
2026-08-31T12:00:43.629281+00:00,2026-08-31T15:00:41.557000+00:00,USDCAD,1.38863,1.38866,3.0
