observed_at,tick_time,symbol,bid,ask,spread_points
2026-08-31T08:39:05.004720+00:00,2026-08-31T11:39:03.282000+00:00,USDJPY,159.628,159.631,3.0
2026-08-31T08:39:06.006125+00:00,2026-08-31T11:39:05.970000+00:00,USDJPY,159.621,159.622,1.0
2026-08-31T08:39:07.009363+00:00,2026-08-31T11:39:06.513000+00:00,USDJPY,159.62,159.622,2.0
2026-08-31T08:39:08.012276+00:00,2026-08-31T11:39:06.513000+00:00,USDJPY,159.62,159.622,2.0
2026-08-31T08:39:09.015230+00:00,2026-08-31T11:39:08.914000+00:00,USDJPY,159.62,159.623,3.0
2026-08-31T08:39:10.017611+00:00,2026-08-31T11:39:08.914000+00:00,USDJPY,159.62,159.623,3.0
2026-08-31T08:39:11.073244+00:00,2026-08-31T11:39:08.914000+00:00,USDJPY,159.62,159.623,3.0
2026-08-31T08:39:12.076629+00:00,2026-08-31T11:39:11.122000+00:00,USDJPY,159.62,159.622,2.0
2026-08-31T08:39:13.080670+00:00,2026-08-31T11:39:12.210000+00:00,USDJPY,159.62,159.623,3.0
2026-08-31T08:39:14.084145+00:00,2026-08-31T11:39:13.937000+00:00,USDJPY,159.619,159.622,3.0
2026-08-31T08:39:15.088067+00:00,2026-08-31T11:39:14.641000+00:00,USDJPY,159.62,159.623,3.0
2026-08-31T08:39:16.092748+00:00,2026-08-31T11:39:16.050000+00:00,USDJPY,159.619,159.621,2.0
2026-08-31T08:39:17.096093+00:00,2026-08-31T11:39:16.113000+00:00,USDJPY,159.618,159.621,3.0
2026-08-31T08:39:18.099322+00:00,2026-08-31T11:39:16.113000+00:00,USDJPY,159.618,159.621,3.0
2026-08-31T08:39:19.103784+00:00,2026-08-31T11:39:18.642000+00:00,USDJPY,159.619,159.621,2.0
2026-08-31T08:39:20.107566+00:00,2026-08-31T11:39:19.410000+00:00,USDJPY,159.618,159.621,3.0
2026-08-31T08:39:21.110206+00:00,2026-08-31T11:39:19.410000+00:00,USDJPY,159.618,159.621,3.0
2026-08-31T08:39:22.113646+00:00,2026-08-31T11:39:19.410000+00:00,USDJPY,159.618,159.621,3.0
2026-08-31T08:39:23.118592+00:00,2026-08-31T11:39:22.898000+00:00,USDJPY,159.619,159.621,2.0
2026-08-31T08:39:24.121745+00:00,2026-08-31T11:39:22.898000+00:00,USDJPY,159.619,159.621,2.0
2026-08-31T08:39:25.125688+00:00,2026-08-31T11:39:25.073000+00:00,USDJPY,159.62,159.622,2.0
2026-08-31T08:39:26.128387+00:00,2026-08-31T11:39:25.490000+00:00,USDJPY,159.618,159.62,2.0
2026-08-31T08:39:27.132058+00:00,2026-08-31T11:39:25.490000+00:00,USDJPY,159.618,159.62,2.0
2026-08-31T08:39:28.136023+00:00,2026-08-31T11:39:25.490000+00:00,USDJPY,159.618,159.62,2.0
2026-08-31T08:39:29.139196+00:00,2026-08-31T11:39:28.401000+00:00,USDJPY,159.619,159.621,2.0
2026-08-31T08:39:30.142050+00:00,2026-08-31T11:39:29.202000+00:00,USDJPY,159.618,159.62,2.0
2026-08-31T08:39:31.145510+00:00,2026-08-31T11:39:29.202000+00:00,USDJPY,159.618,159.62,2.0
2026-08-31T08:39:32.148184+00:00,2026-08-31T11:39:31.154000+00:00,USDJPY,159.618,159.621,3.0
2026-08-31T08:39:33.151817+00:00,2026-08-31T11:39:32.849000+00:00,USDJPY,159.616,159.618,2.0
2026-08-31T08:39:34.154999+00:00,2026-08-31T11:39:34.065000+00:00,USDJPY,159.615,159.618,3.0
2026-08-31T12:00:02.500544+00:00,2026-08-31T15:00:00.247000+00:00,USDJPY,159.706,159.709,3.0
2026-08-31T12:00:03.502631+00:00,2026-08-31T15:00:03.286000+00:00,USDJPY,159.702,159.705,3.0
2026-08-31T12:00:04.504937+00:00,2026-08-31T15:00:03.286000+00:00,USDJPY,159.702,159.705,3.0
2026-08-31T12:00:05.507941+00:00,2026-08-31T15:00:04.982000+00:00,USDJPY,159.696,159.699,3.0
2026-08-31T12:00:06.510830+00:00,2026-08-31T15:00:06.070000+00:00,USDJPY,159.696,159.698,2.0
2026-08-31T12:00:07.515387+00:00,2026-08-31T15:00:06.070000+00:00,USDJPY,159.696,159.698,2.0
2026-08-31T12:00:08.517777+00:00,2026-08-31T15:00:08.597000+00:00,USDJPY,159.695,159.697,2.0
2026-08-31T12:00:09.520873+00:00,2026-08-31T15:00:08.597000+00:00,USDJPY,159.695,159.697,2.0
2026-08-31T12:00:10.523064+00:00,2026-08-31T15:00:09.750000+00:00,USDJPY,159.694,159.696,2.0
2026-08-31T12:00:11.526074+00:00,2026-08-31T15:00:11.318000+00:00,USDJPY,159.693,159.696,3.0
2026-08-31T12:00:12.530539+00:00,2026-08-31T15:00:11.318000+00:00,USDJPY,159.693,159.696,3.0
2026-08-31T12:00:13.533769+00:00,2026-08-31T15:00:12.853000+00:00,USDJPY,159.694,159.697,3.0
2026-08-31T12:00:14.535457+00:00,2026-08-31T15:00:13.749000+00:00,USDJPY,159.695,159.698,3.0
2026-08-31T12:00:15.538729+00:00,2026-08-31T15:00:13.749000+00:00,USDJPY,159.695,159.698,3.0
2026-08-31T12:00:16.542229+00:00,2026-08-31T15:00:13.749000+00:00,USDJPY,159.695,159.698,3.0
2026-08-31T12:00:17.545181+00:00,2026-08-31T15:00:13.749000+00:00,USDJPY,159.695,159.698,3.0
2026-08-31T12:00:18.548313+00:00,2026-08-31T15:00:18.580000+00:00,USDJPY,159.697,159.699,2.0
2026-08-31T12:00:19.551054+00:00,2026-08-31T15:00:19.061000+00:00,USDJPY,159.696,159.698,2.0
2026-08-31T12:00:20.554323+00:00,2026-08-31T15:00:19.061000+00:00,USDJPY,159.696,159.698,2.0
2026-08-31T12:00:21.559204+00:00,2026-08-31T15:00:19.061000+00:00,USDJPY,159.696,159.698,2.0
2026-08-31T12:00:22.564025+00:00,2026-08-31T15:00:19.061000+00:00,USDJPY,159.696,159.698,2.0
2026-08-31T12:00:23.566866+00:00,2026-08-31T15:00:19.061000+00:00,USDJPY,159.696,159.698,2.0
2026-08-31T12:00:24.570370+00:00,2026-08-31T15:00:24.598000+00:00,USDJPY,159.696,159.698,2.0
2026-08-31T12:00:25.573258+00:00,2026-08-31T15:00:25.525000+00:00,USDJPY,159.693,159.696,3.0
2026-08-31T12:00:26.575998+00:00,2026-08-31T15:00:26.485000+00:00,USDJPY,159.694,159.697,3.0
2026-08-31T12:00:27.578727+00:00,2026-08-31T15:00:26.773000+00:00,USDJPY,159.693,159.696,3.0
